评论ID,商品,评论文本,评分,点赞数,评论日期
R0055,智能手机,使用体验很棒，朋友都说好看。,5,456,2024-06-28
R0056,耳机,物流太慢了，客服也不回复。,1,210,2024-01-19
R0057,手表,用了几天就出问题，失望。,1,314,2024-02-28
R0058,智能手机,跟描述差不多，可以接受。,3,59,2024-02-03
R0059,智能手机,使用体验很棒，朋友都说好看。,4,313,2024-04-21
R0060,家电,使用体验很棒，朋友都说好看。,4,155,2024-01-28
R0061,手表,使用体验很棒，朋友都说好看。,4,0,2024-02-13
R0062,耳机,包装精美，产品和描述一致，推荐！,5,270,2024-01-17
R0063,手表,还行吧，一般般。,3,462,2024-06-20
R0064,耳机,价格还算合理。,3,40,2024-06-20
R0065,耳机,质量不好，跟图片不一样，不推荐。,2,379,2024-05-06
R0066,耳机,非常好用，物流很快，客服态度也很好！,4,117,2024-06-14
R0067,笔记本电脑,包装精美，产品和描述一致，推荐！,4,307,2024-02-17
R0068,家电,用了几天就出问题，失望。,1,68,2024-06-03
R0069,家电,产品正常，没有惊喜。,3,187,2024-02-23
R0070,笔记本电脑,物流太慢了，客服也不回复。,2,422,2024-05-02
R0071,耳机,跟描述差不多，可以接受。,3,373,2024-02-12
R0072,手表,质量不好，跟图片不一样，不推荐。,1,48,2024-05-26
R0073,手表,质量超出预期，会再次购买。,5,458,2024-06-21
R0074,笔记本电脑,物流太慢了，客服也不回复。,1,243,2024-05-19
R0075,耳机,还行吧，一般般。,3,202,2024-02-29
R0076,耳机,非常好用，物流很快，客服态度也很好！,4,84,2024-06-25
R0077,耳机,用了几天就出问题，失望。,1,363,2024-04-20
R0078,智能手机,不值这个价格，不建议购买。,2,187,2024-04-18
R0079,笔记本电脑,性价比很高，满意的一次购物。,5,386,2024-03-21
R0080,手表,非常好用，物流很快，客服态度也很好！,4,325,2024-02-22
R0081,智能手机,包装精美，产品和描述一致，推荐！,5,132,2024-03-15
R0082,耳机,质量超出预期，会再次购买。,4,37,2024-01-08
R0083,耳机,产品正常，没有惊喜。,3,93,2024-05-23
R0084,笔记本电脑,物流太慢了，客服也不回复。,1,84,2024-05-29
R0085,手表,包装有破损，体验差。,1,103,2024-03-20
R0086,笔记本电脑,包装精美，产品和描述一致，推荐！,5,217,2024-04-08
R0087,家电,功能齐全，做工精细，好评！,4,218,2024-04-06
R0088,智能手机,非常好用，物流很快，客服态度也很好！,5,138,2024-06-05
R0089,耳机,不值这个价格，不建议购买。,2,208,2024-03-20
R0090,家电,性价比很高，满意的一次购物。,4,339,2024-05-04
R0091,家电,质量超出预期，会再次购买。,4,70,2024-01-04
R0092,耳机,包装精美，产品和描述一致，推荐！,4,136,2024-05-17
R0093,笔记本电脑,非常好用，物流很快，客服态度也很好！,5,430,2024-03-20
R0094,笔记本电脑,包装有破损，体验差。,1,10,2024-05-19
R0095,智能手机,价格还算合理。,3,15,2024-03-09
R0096,家电,非常好用，物流很快，客服态度也很好！,5,271,2024-04-20
R0097,手表,不值这个价格，不建议购买。,1,480,2024-02-27
R0098,笔记本电脑,包装有破损，体验差。,2,154,2024-03-18
R0099,手表,物流太慢了，客服也不回复。,1,298,2024-04-13
R0100,手表,包装有破损，体验差。,1,256,2024-06-26
R0101,耳机,使用体验很棒，朋友都说好看。,5,119,2024-05-28
R0102,耳机,包装精美，产品和描述一致，推荐！,5,436,2024-02-18
R0103,笔记本电脑,质量超出预期，会再次购买。,4,161,2024-01-22
R0104,手表,跟描述差不多，可以接受。,3,184,2024-01-09
R0105,耳机,使用体验很棒，朋友都说好看。,4,234,2024-03-21
R0106,耳机,非常好用，物流很快，客服态度也很好！,4,382,2024-01-20
R0107,耳机,性价比很高，满意的一次购物。,5,91,2024-01-17
R0108,家电,不值这个价格，不建议购买。,1,347,2024-05-02
R0109,智能手机,价格还算合理。,3,419,2024-05-10
R0110,笔记本电脑,产品正常，没有惊喜。,3,413,2024-01-02
R0111,智能手机,使用体验很棒，朋友都说好看。,5,389,2024-06-13
R0112,家电,使用体验很棒，朋友都说好看。,5,245,2024-01-18
R0113,笔记本电脑,产品正常，没有惊喜。,3,339,2024-02-08
R0114,耳机,非常好用，物流很快，客服态度也很好！,4,368,2024-04-04
R0115,笔记本电脑,质量超出预期，会再次购买。,4,94,2024-02-07
R0116,手表,跟描述差不多，可以接受。,3,46,2024-01-10
R0117,家电,用了几天就出问题，失望。,1,319,2024-04-10
R0118,家电,质量超出预期，会再次购买。,4,467,2024-01-16
R0119,笔记本电脑,功能齐全，做工精细，好评！,4,139,2024-02-04
R0120,智能手机,使用体验很棒，朋友都说好看。,4,317,2024-06-16
R0121,耳机,还行吧，一般般。,3,138,2024-05-12
R0122,家电,功能齐全，做工精细，好评！,5,224,2024-02-06
R0123,笔记本电脑,质量超出预期，会再次购买。,4,362,2024-02-04
R0124,手表,价格还算合理。,3,149,2024-05-22
R0125,手表,还行吧，一般般。,3,201,2024-03-09
R0126,智能手机,功能齐全，做工精细，好评！,4,78,2024-06-08
R0127,笔记本电脑,性价比很高，满意的一次购物。,4,267,2024-01-29
R0128,笔记本电脑,不值这个价格，不建议购买。,2,465,2024-01-03
R0129,手表,不值这个价格，不建议购买。,2,442,2024-06-12
R0130,家电,产品正常，没有惊喜。,3,43,2024-03-07
R0131,耳机,包装精美，产品和描述一致，推荐！,5,219,2024-06-15
R0132,家电,用了几天就出问题，失望。,1,49,2024-02-06
R0133,笔记本电脑,包装精美，产品和描述一致，推荐！,5,286,2024-06-04
R0134,手表,包装精美，产品和描述一致，推荐！,4,43,2024-04-03
R0135,家电,质量超出预期，会再次购买。,5,282,2024-01-23
R0136,笔记本电脑,包装精美，产品和描述一致，推荐！,5,322,2024-01-03
R0137,耳机,物流太慢了，客服也不回复。,1,113,2024-04-01
R0138,手表,使用体验很棒，朋友都说好看。,5,305,2024-02-20
R0139,智能手机,功能齐全，做工精细，好评！,5,8,2024-04-15
R0140,家电,价格还算合理。,3,1,2024-02-05
R0141,笔记本电脑,质量超出预期，会再次购买。,5,251,2024-05-25
R0142,智能手机,跟描述差不多，可以接受。,3,410,2024-04-28
R0143,智能手机,非常好用，物流很快，客服态度也很好！,4,361,2024-04-09
R0144,智能手机,质量不好，跟图片不一样，不推荐。,1,414,2024-06-10
R0145,笔记本电脑,质量超出预期，会再次购买。,4,81,2024-06-19
R0146,手表,包装精美，产品和描述一致，推荐！,4,352,2024-02-20
R0147,手表,价格还算合理。,3,106,2024-03-22
R0148,笔记本电脑,价格还算合理。,3,19,2024-04-12
R0149,笔记本电脑,功能齐全，做工精细，好评！,5,437,2024-01-26
R0150,耳机,性价比很高，满意的一次购物。,4,84,2024-05-10
R0151,笔记本电脑,性价比很高，满意的一次购物。,4,488,2024-02-12
R0152,家电,不值这个价格，不建议购买。,1,353,2024-03-12
R0153,智能手机,物流太慢了，客服也不回复。,2,368,2024-06-28
R0154,手表,使用体验很棒，朋友都说好看。,5,27,2024-06-27
R0155,智能手机,使用体验很棒，朋友都说好看。,4,179,2024-01-02
R0156,智能手机,非常好用，物流很快，客服态度也很好！,5,321,2024-01-18
R0157,耳机,包装有破损，体验差。,1,387,2024-04-15
R0158,耳机,包装精美，产品和描述一致，推荐！,5,32,2024-06-18
R0159,笔记本电脑,产品正常，没有惊喜。,3,436,2024-06-09
R0160,耳机,使用体验很棒，朋友都说好看。,4,116,2024-05-22
R0161,耳机,质量超出预期，会再次购买。,5,309,2024-06-12
R0162,家电,非常好用，物流很快，客服态度也很好！,5,366,2024-02-13
R0163,家电,质量不好，跟图片不一样，不推荐。,2,428,2024-03-08
R0164,手表,质量不好，跟图片不一样，不推荐。,2,336,2024-04-24
R0165,耳机,产品正常，没有惊喜。,3,94,2024-06-22
R0166,家电,使用体验很棒，朋友都说好看。,5,136,2024-06-25
R0167,家电,包装有破损，体验差。,2,393,2024-02-21
R0168,智能手机,跟描述差不多，可以接受。,3,5,2024-05-10
R0169,家电,性价比很高，满意的一次购物。,5,369,2024-05-25
R0170,手表,非常好用，物流很快，客服态度也很好！,4,159,2024-03-22
R0171,耳机,质量超出预期，会再次购买。,5,139,2024-06-07
R0172,家电,使用体验很棒，朋友都说好看。,4,46,2024-05-18
R0173,笔记本电脑,物流太慢了，客服也不回复。,2,42,2024-04-03
R0174,家电,功能齐全，做工精细，好评！,4,331,2024-05-03
R0175,笔记本电脑,性价比很高，满意的一次购物。,4,234,2024-06-04
R0176,手表,性价比很高，满意的一次购物。,4,201,2024-05-22
R0177,手表,质量超出预期，会再次购买。,5,37,2024-02-28
R0178,智能手机,非常好用，物流很快，客服态度也很好！,4,140,2024-02-16
R0179,耳机,功能齐全，做工精细，好评！,4,106,2024-06-22
R0180,家电,质量不好，跟图片不一样，不推荐。,2,2,2024-04-16
R0181,家电,质量超出预期，会再次购买。,5,245,2024-05-02
R0182,手表,性价比很高，满意的一次购物。,5,134,2024-01-06
R0183,家电,用了几天就出问题，失望。,1,338,2024-01-12
R0184,家电,不值这个价格，不建议购买。,2,252,2024-03-17
R0185,智能手机,包装精美，产品和描述一致，推荐！,5,7,2024-03-04
R0186,耳机,产品正常，没有惊喜。,3,309,2024-04-09
R0187,笔记本电脑,质量超出预期，会再次购买。,5,416,2024-03-05
R0188,耳机,性价比很高，满意的一次购物。,4,490,2024-06-14
R0189,手表,产品正常，没有惊喜。,3,33,2024-02-07
R0190,笔记本电脑,用了几天就出问题，失望。,1,441,2024-02-14
R0191,手表,功能齐全，做工精细，好评！,5,8,2024-06-11
R0192,智能手机,质量超出预期，会再次购买。,4,454,2024-03-08
R0193,笔记本电脑,质量超出预期，会再次购买。,4,331,2024-03-23
R0194,家电,包装精美，产品和描述一致，推荐！,5,71,2024-01-07
R0195,手表,质量超出预期，会再次购买。,4,77,2024-02-04
R0196,笔记本电脑,非常好用，物流很快，客服态度也很好！,4,490,2024-05-30
R0197,耳机,还行吧，一般般。,3,409,2024-04-15
R0198,笔记本电脑,非常好用，物流很快，客服态度也很好！,5,480,2024-03-07
R0199,智能手机,包装有破损，体验差。,2,379,2024-03-25
R0200,笔记本电脑,使用体验很棒，朋友都说好看。,5,359,2024-04-13
R0201,笔记本电脑,包装有破损，体验差。,1,260,2024-03-23
R0202,智能手机,质量不好，跟图片不一样，不推荐。,2,299,2024-04-10
R0203,耳机,价格还算合理。,3,102,2024-04-06
R0204,家电,性价比很高，满意的一次购物。,4,280,2024-01-28
R0205,耳机,使用体验很棒，朋友都说好看。,4,235,2024-04-29
R0206,家电,包装精美，产品和描述一致，推荐！,5,22,2024-06-12
R0207,笔记本电脑,用了几天就出问题，失望。,1,465,2024-02-19
R0208,耳机,产品正常，没有惊喜。,3,435,2024-02-20
R0209,笔记本电脑,不值这个价格，不建议购买。,2,124,2024-03-18
R0210,耳机,还行吧，一般般。,3,165,2024-02-11
R0211,家电,非常好用，物流很快，客服态度也很好！,4,499,2024-05-01
R0212,耳机,性价比很高，满意的一次购物。,5,385,2024-03-05
R0213,家电,功能齐全，做工精细，好评！,5,405,2024-05-03
R0214,笔记本电脑,跟描述差不多，可以接受。,3,305,2024-05-11
R0215,笔记本电脑,使用体验很棒，朋友都说好看。,5,56,2024-03-21
R0216,笔记本电脑,非常好用，物流很快，客服态度也很好！,4,270,2024-01-27
R0217,耳机,性价比很高，满意的一次购物。,4,6,2024-05-07
R0218,耳机,包装精美，产品和描述一致，推荐！,5,53,2024-03-27
R0219,笔记本电脑,非常好用，物流很快，客服态度也很好！,5,471,2024-02-15
R0220,耳机,跟描述差不多，可以接受。,3,497,2024-01-20
R0221,家电,使用体验很棒，朋友都说好看。,5,115,2024-02-01
R0222,智能手机,包装精美，产品和描述一致，推荐！,4,364,2024-03-09
R0223,家电,非常好用，物流很快，客服态度也很好！,4,62,2024-06-20
R0224,笔记本电脑,非常好用，物流很快，客服态度也很好！,5,375,2024-03-19
R0225,耳机,还行吧，一般般。,3,156,2024-04-17
R0226,家电,功能齐全，做工精细，好评！,4,382,2024-06-15
R0227,耳机,功能齐全，做工精细，好评！,5,115,2024-06-28
R0228,笔记本电脑,使用体验很棒，朋友都说好看。,5,204,2024-02-06
R0229,耳机,包装精美，产品和描述一致，推荐！,5,213,2024-03-22
R0230,家电,物流太慢了，客服也不回复。,2,213,2024-05-06
R0231,耳机,功能齐全，做工精细，好评！,5,438,2024-05-16
R0232,耳机,性价比很高，满意的一次购物。,4,24,2024-02-08
R0233,智能手机,功能齐全，做工精细，好评！,4,11,2024-04-08
R0234,手表,不值这个价格，不建议购买。,2,299,2024-06-21
R0235,笔记本电脑,性价比很高，满意的一次购物。,5,299,2024-02-01
R0236,手表,使用体验很棒，朋友都说好看。,5,126,2024-04-12
R0237,手表,包装精美，产品和描述一致，推荐！,5,398,2024-06-18
R0238,家电,价格还算合理。,3,53,2024-02-29
R0239,智能手机,性价比很高，满意的一次购物。,5,450,2024-04-23
R0240,笔记本电脑,质量超出预期，会再次购买。,5,171,2024-02-21
R0241,笔记本电脑,使用体验很棒，朋友都说好看。,4,203,2024-05-23
R0242,家电,包装有破损，体验差。,1,243,2024-05-17
R0243,笔记本电脑,功能齐全，做工精细，好评！,5,310,2024-03-28
R0244,智能手机,不值这个价格，不建议购买。,1,181,2024-05-02
R0245,智能手机,包装精美，产品和描述一致，推荐！,5,441,2024-02-06
R0246,手表,质量超出预期，会再次购买。,5,341,2024-05-01
R0247,智能手机,包装有破损，体验差。,2,325,2024-03-17
R0248,笔记本电脑,包装精美，产品和描述一致，推荐！,5,314,2024-03-04
R0249,手表,非常好用，物流很快，客服态度也很好！,4,450,2024-02-25
R0250,家电,性价比很高，满意的一次购物。,4,418,2024-06-14
R0251,笔记本电脑,性价比很高，满意的一次购物。,5,352,2024-04-26
R0252,耳机,还行吧，一般般。,3,489,2024-04-11
R0253,智能手机,非常好用，物流很快，客服态度也很好！,5,362,2024-04-04
R0254,手表,包装精美，产品和描述一致，推荐！,4,459,2024-02-01
R0255,手表,包装精美，产品和描述一致，推荐！,5,142,2024-01-12
R0256,手表,性价比很高，满意的一次购物。,4,118,2024-02-03
R0257,笔记本电脑,产品正常，没有惊喜。,3,240,2024-05-22
R0258,笔记本电脑,性价比很高，满意的一次购物。,5,129,2024-04-21
R0259,家电,价格还算合理。,3,387,2024-02-24
R0260,耳机,包装有破损，体验差。,1,160,2024-06-07
R0261,智能手机,性价比很高，满意的一次购物。,5,450,2024-03-05
R0262,耳机,性价比很高，满意的一次购物。,5,352,2024-03-13
R0263,耳机,使用体验很棒，朋友都说好看。,5,353,2024-01-31
R0264,智能手机,不值这个价格，不建议购买。,1,284,2024-01-05
R0265,耳机,质量超出预期，会再次购买。,5,116,2024-05-17
R0266,手表,还行吧，一般般。,3,24,2024-01-01
R0267,手表,跟描述差不多，可以接受。,3,404,2024-01-09
R0268,耳机,还行吧，一般般。,3,462,2024-03-04
R0269,智能手机,价格还算合理。,3,9,2024-02-26
R0270,耳机,跟描述差不多，可以接受。,3,96,2024-06-11
R0271,笔记本电脑,质量超出预期，会再次购买。,5,387,2024-03-11
R0272,笔记本电脑,产品正常，没有惊喜。,3,62,2024-05-17
R0273,家电,非常好用，物流很快，客服态度也很好！,5,404,2024-03-02
R0274,耳机,使用体验很棒，朋友都说好看。,4,251,2024-05-18
R0275,笔记本电脑,跟描述差不多，可以接受。,3,54,2024-03-17
R0276,笔记本电脑,还行吧，一般般。,3,475,2024-01-07
R0277,家电,不值这个价格，不建议购买。,2,175,2024-03-09
R0278,智能手机,使用体验很棒，朋友都说好看。,5,387,2024-02-03
R0279,智能手机,包装精美，产品和描述一致，推荐！,5,66,2024-05-08
R0280,笔记本电脑,包装有破损，体验差。,1,499,2024-03-30
R0281,耳机,跟描述差不多，可以接受。,3,407,2024-03-30
R0282,家电,非常好用，物流很快，客服态度也很好！,5,414,2024-02-18
R0283,笔记本电脑,使用体验很棒，朋友都说好看。,4,4,2024-02-29
R0284,智能手机,质量不好，跟图片不一样，不推荐。,2,397,2024-04-29
R0285,手表,非常好用，物流很快，客服态度也很好！,5,209,2024-03-17
R0286,耳机,使用体验很棒，朋友都说好看。,4,451,2024-06-17
R0287,手表,质量不好，跟图片不一样，不推荐。,2,19,2024-06-24
R0288,笔记本电脑,非常好用，物流很快，客服态度也很好！,4,497,2024-05-08
R0289,笔记本电脑,用了几天就出问题，失望。,1,223,2024-03-07
R0290,耳机,性价比很高，满意的一次购物。,5,274,2024-04-04
R0291,手表,功能齐全，做工精细，好评！,5,394,2024-03-17
R0292,笔记本电脑,非常好用，物流很快，客服态度也很好！,5,422,2024-05-25
R0293,手表,价格还算合理。,3,449,2024-05-10
R0294,笔记本电脑,物流太慢了，客服也不回复。,2,468,2024-01-05
R0295,智能手机,使用体验很棒，朋友都说好看。,5,407,2024-04-10
R0296,手表,包装精美，产品和描述一致，推荐！,4,405,2024-02-05
R0297,笔记本电脑,非常好用，物流很快，客服态度也很好！,5,409,2024-02-10
R0298,家电,非常好用，物流很快，客服态度也很好！,5,283,2024-03-30
R0299,家电,非常好用，物流很快，客服态度也很好！,4,299,2024-05-29
R0300,智能手机,包装有破损，体验差。,1,476,2024-01-03
R0301,智能手机,性价比很高，满意的一次购物。,4,348,2024-05-29
R0302,笔记本电脑,非常好用，物流很快，客服态度也很好！,4,368,2024-04-24
R0303,笔记本电脑,包装精美，产品和描述一致，推荐！,4,0,2024-03-19
R0304,手表,跟描述差不多，可以接受。,3,0,2024-06-22
R0305,手表,还行吧，一般般。,3,479,2024-05-16
R0306,耳机,使用体验很棒，朋友都说好看。,5,97,2024-01-13
R0307,家电,功能齐全，做工精细，好评！,5,484,2024-05-19
R0308,耳机,还行吧，一般般。,3,128,2024-02-13
R0309,笔记本电脑,包装有破损，体验差。,2,424,2024-06-09
R0310,笔记本电脑,跟描述差不多，可以接受。,3,92,2024-03-15
R0311,笔记本电脑,性价比很高，满意的一次购物。,4,158,2024-01-03
R0312,笔记本电脑,包装精美，产品和描述一致，推荐！,4,82,2024-05-10
R0313,家电,非常好用，物流很快，客服态度也很好！,4,35,2024-01-10
R0314,手表,性价比很高，满意的一次购物。,4,203,2024-02-04
R0315,智能手机,物流太慢了，客服也不回复。,2,51,2024-04-17
R0316,耳机,包装精美，产品和描述一致，推荐！,4,50,2024-04-15
R0317,手表,包装精美，产品和描述一致，推荐！,5,300,2024-02-05
R0318,笔记本电脑,质量超出预期，会再次购买。,4,173,2024-04-01
R0319,耳机,包装有破损，体验差。,2,447,2024-03-15
R0320,耳机,跟描述差不多，可以接受。,3,21,2024-06-02
R0321,耳机,质量超出预期，会再次购买。,5,102,2024-04-10
R0322,手表,性价比很高，满意的一次购物。,4,439,2024-01-28
R0323,耳机,非常好用，物流很快，客服态度也很好！,5,200,2024-06-01
R0324,笔记本电脑,性价比很高，满意的一次购物。,5,26,2024-01-07
R0325,智能手机,性价比很高，满意的一次购物。,5,152,2024-01-22
R0326,智能手机,非常好用，物流很快，客服态度也很好！,5,41,2024-02-06
R0327,手表,质量超出预期，会再次购买。,5,97,2024-01-22
R0328,手表,质量超出预期，会再次购买。,5,322,2024-05-31
R0329,智能手机,产品正常，没有惊喜。,3,312,2024-02-09
R0330,家电,使用体验很棒，朋友都说好看。,4,228,2024-04-22
R0331,家电,包装有破损，体验差。,2,410,2024-06-05
R0332,笔记本电脑,使用体验很棒，朋友都说好看。,4,301,2024-05-11
R0333,手表,性价比很高，满意的一次购物。,5,431,2024-05-30
R0334,笔记本电脑,产品正常，没有惊喜。,3,445,2024-05-16
R0335,耳机,使用体验很棒，朋友都说好看。,5,209,2024-02-08
R0336,智能手机,非常好用，物流很快，客服态度也很好！,5,169,2024-01-31
R0337,笔记本电脑,性价比很高，满意的一次购物。,4,6,2024-03-27
R0338,家电,非常好用，物流很快，客服态度也很好！,4,255,2024-06-16
R0339,耳机,还行吧，一般般。,3,357,2024-01-25
R0340,笔记本电脑,性价比很高，满意的一次购物。,5,10,2024-04-25
R0341,家电,功能齐全，做工精细，好评！,5,17,2024-01-06
R0342,手表,质量超出预期，会再次购买。,5,344,2024-03-17
R0343,耳机,跟描述差不多，可以接受。,3,69,2024-02-08
R0344,笔记本电脑,性价比很高，满意的一次购物。,5,222,2024-04-27
R0345,笔记本电脑,使用体验很棒，朋友都说好看。,4,379,2024-05-19
R0346,智能手机,价格还算合理。,3,117,2024-05-26
R0347,智能手机,使用体验很棒，朋友都说好看。,5,226,2024-05-24
R0348,耳机,使用体验很棒，朋友都说好看。,4,247,2024-04-02
R0349,智能手机,性价比很高，满意的一次购物。,4,151,2024-03-05
R0350,手表,用了几天就出问题，失望。,1,416,2024-05-17
R0351,智能手机,功能齐全，做工精细，好评！,5,103,2024-04-23
R0352,手表,还行吧，一般般。,3,238,2024-02-01
R0353,笔记本电脑,质量超出预期，会再次购买。,5,46,2024-06-05
R0354,家电,质量不好，跟图片不一样，不推荐。,2,18,2024-03-11
R0355,智能手机,功能齐全，做工精细，好评！,5,308,2024-04-12
R0356,智能手机,使用体验很棒，朋友都说好看。,4,286,2024-03-17
R0357,耳机,质量超出预期，会再次购买。,4,327,2024-03-20
R0358,手表,使用体验很棒，朋友都说好看。,4,325,2024-01-29
R0359,耳机,质量超出预期，会再次购买。,4,221,2024-01-24
R0360,手表,包装有破损，体验差。,1,184,2024-01-22
R0361,手表,还行吧，一般般。,3,198,2024-02-20
R0362,手表,价格还算合理。,3,423,2024-03-04
R0363,笔记本电脑,还行吧，一般般。,3,454,2024-04-09
R0364,笔记本电脑,跟描述差不多，可以接受。,3,279,2024-06-20
R0365,笔记本电脑,非常好用，物流很快，客服态度也很好！,5,433,2024-06-11
R0366,智能手机,还行吧，一般般。,3,34,2024-02-25
R0367,家电,产品正常，没有惊喜。,3,25,2024-03-24
R0368,智能手机,质量超出预期，会再次购买。,5,94,2024-06-19
R0369,家电,质量不好，跟图片不一样，不推荐。,1,354,2024-01-25
R0370,耳机,物流太慢了，客服也不回复。,1,48,2024-05-30
R0371,耳机,性价比很高，满意的一次购物。,4,338,2024-06-14
R0372,智能手机,用了几天就出问题，失望。,1,90,2024-02-23
R0373,耳机,使用体验很棒，朋友都说好看。,5,415,2024-06-16
R0374,笔记本电脑,功能齐全，做工精细，好评！,5,362,2024-03-15
R0375,手表,产品正常，没有惊喜。,3,30,2024-02-14
R0376,智能手机,功能齐全，做工精细，好评！,4,169,2024-01-07
R0377,家电,包装有破损，体验差。,2,381,2024-01-14
R0378,手表,还行吧，一般般。,3,321,2024-04-13
R0379,耳机,质量超出预期，会再次购买。,5,125,2024-05-29
R0380,耳机,非常好用，物流很快，客服态度也很好！,5,262,2024-02-25
R0381,耳机,质量超出预期，会再次购买。,5,108,2024-06-09
R0382,耳机,使用体验很棒，朋友都说好看。,5,176,2024-01-19
R0383,手表,质量不好，跟图片不一样，不推荐。,2,48,2024-04-17
R0384,手表,包装精美，产品和描述一致，推荐！,5,406,2024-02-20
R0385,智能手机,非常好用，物流很快，客服态度也很好！,4,248,2024-05-13
R0386,智能手机,还行吧，一般般。,3,415,2024-02-28
R0387,手表,质量超出预期，会再次购买。,5,303,2024-01-10
R0388,家电,还行吧，一般般。,3,449,2024-02-14
R0389,笔记本电脑,物流太慢了，客服也不回复。,2,350,2024-02-08
R0390,智能手机,跟描述差不多，可以接受。,3,278,2024-01-29
R0391,耳机,使用体验很棒，朋友都说好看。,5,208,2024-04-23
R0392,家电,物流太慢了，客服也不回复。,2,365,2024-05-15
R0393,耳机,性价比很高，满意的一次购物。,4,324,2024-06-13
R0394,智能手机,包装精美，产品和描述一致，推荐！,4,387,2024-02-20
R0395,耳机,产品正常，没有惊喜。,3,355,2024-06-26
R0396,笔记本电脑,还行吧，一般般。,3,91,2024-01-27
R0397,智能手机,非常好用，物流很快，客服态度也很好！,4,385,2024-01-27
R0398,耳机,价格还算合理。,3,120,2024-06-06
R0399,笔记本电脑,包装精美，产品和描述一致，推荐！,4,42,2024-02-05
R0400,家电,用了几天就出问题，失望。,1,22,2024-01-27
R0401,手表,非常好用，物流很快，客服态度也很好！,5,198,2024-01-13
R0402,智能手机,包装有破损，体验差。,1,202,2024-03-28
